11,11,15,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,
11,11,15,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,
11,11,11,19,19,19,19,19,19,4,31,31,31,31,31,31,31,31,31,31,
17,16,16,16,16,16,16,16,48,16,31,31,31,31,31,31,31,31,31,31,
16,31,31,31,31,31,31,31,45,31,31,31,31,31,31,31,31,31,31,31,
31,31,31,31,31,28,5,5,46,5,5,26,5,5,34,31,31,31,31,31,
31,28,5,5,5,0,9,9,46,9,9,26,9,9,35,5,5,5,34,31,
5,0,9,9,9,1,31,31,47,31,31,26,31,31,30,9,9,9,35,5,
9,1,31,31,31,31,31,31,48,31,31,31,31,31,31,31,31,31,30,9,
31,31,31,31,31,10,19,19,43,31,31,31,31,31,31,31,31,31,31,31,
31,31,31,10,19,43,16,16,16,31,31,31,31,31,31,31,31,31,31,31,
31,31,31,45,16,16,31,31,31,31,31,31,31,31,31,31,31,31,31,31,

